,count,mean,std,min,25%,50%,75%,max,missing,skewness,kurtosis
P401,1441719.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
P402,1441719.0,1.9745553745216649,0.1574713107596352,1.0,2.0,2.0,2.0,2.0,0,-6.027199961849793,34.32713938012214
P403,1441719.0,1.0000416169863893,0.006450990875877358,1.0,1.0,1.0,1.0,2.0,0,155.0020968942648,24023.65004161874
P404,1441719.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
UV401,1441719.0,1.9736314774238253,0.1602287159054418,1.0,2.0,2.0,2.0,2.0,0,-5.911944547601707,32.95108833391763
AIT501,1441719.0,7.8452615122489195,0.07230799462591307,7.303769,7.824789,7.861318,7.886632,8.307037,0,-2.8730176563974577,12.491913108653034
AIT502,1441719.0,155.6270588549502,17.233220785355808,129.8385,144.5014,148.8849,169.1105,272.8531,0,1.9711677090201545,5.973209721393465
AIT503,1441719.0,266.22702001839474,5.748405215525894,244.8731,262.5288,267.111,270.059,297.2635,0,-0.3714149791173073,-0.022614797631260508
AIT504,1441719.0,12.966362083165306,8.039195270323612,7.344271,11.26634,12.11228,13.30428,442.4635,0,19.66966310965816,489.8779669160703
FIT501,1441719.0,1.6777492277838744,0.27188545480513854,0.0,1.710972,1.721738,1.731479,1.757754,0,-5.968897582982062,33.81184204706856
FIT502,1441719.0,1.2469030437690967,0.20288250658810703,0.0,1.262457,1.280902,1.292686,1.361983,0,-5.890359330610188,33.18411352820232
FIT503,1441719.0,0.7175802666864292,0.11684381798951872,0.0,0.7325801,0.7352687,0.741158,0.7636911,0,-5.9101664225846715,33.1379334784622
FIT504,1441719.0,0.2995530085304435,0.049819607660757825,0.0,0.3065689,0.3081062,0.3086186,0.3170099,0,-5.836321147052977,32.11936350897001
P501,1441719.0,1.9734816562728243,0.16067090302524575,1.0,2.0,2.0,2.0,2.0,0,-5.893809166004914,32.73698648528352
P502,1441719.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
PIT501,1441719.0,245.3680539849159,38.29254051563137,8.891951,248.9906,251.2977,254.1656,264.6437,0,-5.915160173344925,33.36354205167278
PIT502,1441719.0,1.1314928797856318,0.30018058463529684,0.0,1.009195,1.105309,1.217441,3.668343,0,-0.8819513336705976,3.8609176000302163
PIT503,1441719.0,185.64214289557955,29.613454949825623,3.108177,187.7724,189.9353,193.1876,200.6376,0,-5.894337703027135,33.23969765528015
FIT601,1441719.0,0.015076915013936187,0.15225673211002616,0.0,0.0,6.407587e-05,0.0001281517,1.80271,0,10.616416847226311,112.89833951286832
P601,1441719.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
P602,1441719.0,1.0082942653873606,0.09069441137341425,1.0,1.0,1.0,1.0,2.0,0,10.843135705811655,115.5735919346476
P603,1441719.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
