,count,mean,std,min,25%,50%,75%,max,missing,skewness,kurtosis
P206,54621.0,1.0010069387232017,0.03171660786393199,1.0,1.0,1.0,1.0,2.0,0,31.466014982243326,988.1100988627616
DPIT301,54621.0,8.412122918868201,10.249808823851543,0.01280492,2.000768,2.019976,19.71957,45.0,0,1.5702744161015043,2.3228688268748394
FIT301,54621.0,0.6630141534368833,1.0048550317246323,0.0,0.0,0.0,2.197739,2.351984,0,0.8783369983657011,-1.2182651561304039
LIT301,54621.0,964.9589195327804,109.63290586831314,364.3863,933.1342,1014.924,1015.725,1201.0,0,-2.4936077020617984,9.578561178096631
MV301,54621.0,1.012595888028414,0.13485647666177616,0.0,1.0,1.0,1.0,2.0,0,4.854979322920247,50.60096368751913
MV302,54621.0,1.2941908789659655,0.4647132243877218,0.0,1.0,1.0,2.0,2.0,0,0.7785656033239848,-1.0503537728833976
MV303,54621.0,1.0160927115944416,0.1546812852587847,0.0,1.0,1.0,1.0,2.0,0,4.035140902686006,37.50387119841152
MV304,54621.0,1.6322293623331685,0.4909697812300487,0.0,1.0,2.0,2.0,2.0,0,-0.6563176680365129,-1.2906797465473865
P301,54621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
P302,54621.0,1.2975595466944947,0.4571888992852987,1.0,1.0,1.0,2.0,2.0,0,0.8855958960726261,-1.2157199088593231
AIT401,54621.0,148.80688692261222,0.003708996180875052,148.7695,148.8032,148.808,148.808,148.8561,0,-0.46226648062030395,8.889381290441207
AIT402,54621.0,250.7772220757584,85.33395347312792,140.8357,152.0892,309.6129,329.8385,333.8118,0,-0.2796002572770984,-1.8428275036604993
FIT401,54621.0,0.6681397247523663,0.8278040727081426,0.0,0.0,0.0,1.713261,1.741582,0,0.45167453242789785,-1.7761050429323466
LIT401,54621.0,497.87912587649436,309.65160520416373,243.0146,247.5135,248.3594,865.5473,1002.589,0,0.5090254179968376,-1.628908778077257
P401,54621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
P402,54621.0,1.4146390582376742,0.49266413843114576,1.0,1.0,1.0,2.0,2.0,0,0.346531101037529,-1.8799161960137176
P403,54621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
P404,54621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
UV401,54621.0,1.391552699511177,0.48810198194022314,1.0,1.0,1.0,2.0,2.0,0,0.4443673545298798,-1.8025376542281157
AIT501,54621.0,7.656287905091448,0.1614895871258146,7.433863,7.501154,7.640541,7.794027,8.255768,0,0.4724530320714818,-0.1650641479700683
AIT502,54621.0,188.29981521392872,41.89941537632057,131.8124,143.5529,192.7198,229.5822,271.0331,0,0.05015871494917283,-1.5959311766219495
AIT503,54621.0,266.5858981032936,4.171574849498911,244.8731,265.5409,267.4314,269.1297,281.5304,0,-1.8233108121518697,6.116358854128977
AIT504,54621.0,16.621171180315258,19.781114717030523,11.18944,14.9577,15.41912,15.61138,255.0,0,11.917319295512627,140.63757962198505
FIT501,54621.0,0.7017382134429799,0.8363455273782217,0.0,0.000897206,0.001025378,1.723404,1.751858,0,0.3706236395505222,-1.8401197750350142
FIT502,54621.0,0.5237562604592739,0.6244402665829389,0.0,0.001152812,0.001152812,1.281927,1.352376,0,0.3746279384374187,-1.8364086338396284
FIT503,54621.0,0.29272408959824975,0.35278682747625717,0.0,0.000896201,0.001152258,0.7327082,0.7402619,0,0.41774333061820174,-1.7907566171399476
FIT504,54621.0,0.11797934174667249,0.1494291807006534,0.0,0.0,0.0,0.3066329,0.3116292,0,0.47765765705756974,-1.771275942157179
P501,54621.0,1.391625931418319,0.48811824725884184,1.0,1.0,1.0,2.0,2.0,0,0.44405248629354865,-1.8028173894165174
P502,54621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
PIT501,54621.0,106.71784767589389,115.6818637221312,9.468726,9.981415,10.25378,248.8625,253.1242,0,0.3799839728517625,-1.827736072715227
PIT502,54621.0,0.4634094705772505,0.6308616451475831,0.0,0.0,0.0,0.9291,1.890238,0,0.8771693371472393,-0.8109063657604891
PIT503,54621.0,78.50804337276871,89.25583828989141,3.14022,3.716996,3.941297,187.3718,191.3452,0,0.3692991955782005,-1.841688657713053
FIT601,54621.0,0.011337883731458599,0.13086919907872777,0.0,0.0,0.0,0.0,1.742992,0,12.276696064896372,152.1408315196322
P601,54621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
P602,54621.0,1.0061880961534941,0.07842140149227399,1.0,1.0,1.0,1.0,2.0,0,12.593919895850416,156.60681834309696
P603,54621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
